gene_name	gamma2	GAP kcat / GEF kcat	GAP_kcat	GAP_kcat_Km	GAP_Km	GAP/GEF efficiency	GEF_kcat	GEF_kcat_Km	GEF_Km
FIR1	-0.22099784804393194	-0.1225296442687747	-0.13043478260869565	0.05928853754940711	-0.1541501976284585	0.11462450592885376	0.06336646086956767	-0.1067193675889328	0
FKH1	0.2872972024571115	0.07509881422924901	-0.09090909090909091	0.16205533596837945	-0.16205533596837945	0.043478260869565216	-0.14257453695652725	-0.06719367588932806	-0.07128726847826362
FKH2	-0.2651974176527183	0.3359683794466403	0.31225296442687744	-0.05138339920948617	0.19367588932806323	-0.31225296442687744	-0.22178261304348681	0.3675889328063241	-0.22970342065218277
FLC2	0.13259870882635916	-0.19367588932806323	0.09881422924901186	0.05138339920948617	0.011857707509881422	0.05928853754940711	0.3168323043478383	-0.06719367588932806	0.19802019021739894
FLX1	-0.15469849363075236	0.2015810276679842	-0.1225296442687747	-0.1225296442687747	0.1225296442687747	-0.20948616600790515	-0.3405947271739262	0.1857707509881423	-0.2059409978260949
FMP27	-0.08839913921757278	0.1383399209486166	0.13043478260869565	-0.011857707509881422	0.1383399209486166	-0.2727272727272727	-0.12673292173913533	0.391304347826087	-0.16633695978261512
FPK1	-0.39779612647907747	0.03557312252964427	0.043478260869565216	-0.30434782608695654	0.3359683794466403	-0.28063241106719367	-0.07920807608695958	0.24110671936758893	-0.04752484565217575
FPR1	0.17679827843514556	-0.05928853754940711	-0.06719367588932806	0.09090909090909091	-0.1225296442687747	0.24110671936758893	0.10297049891304745	-0.28063241106719367	0.14257453695652725
FPS1	0	-0.06493506493506493	0.16883116883116883	0.2727272727272727	-0.23809523809523808	0.3246753246753247	0.1908898200414185	-0.16883116883116883	0.13015215002823988
FRD1	-0.13259870882635916	-0.1067193675889328	-0.17786561264822134	-0.4782608695652174	0.4308300395256917	-0.2648221343873518	-0.07920807608695958	0.05138339920948617	0.007920807608695958
FRE4	0	-0.17786561264822134	-0.2490118577075099	-0.1067193675889328	-0.003952569169960474	-0.003952569169960474	0.023762422826087874	-0.05138339920948617	0.06336646086956767
FRK1	-0.11049892402196597	0.003952569169960474	-0.05138339920948617	-0.019762845849802372	0.09881422924901186	-0.1225296442687747	-0.08712888369565554	0.13043478260869565	-0.11089130652174341
FUN30	-0.19889806323953874	0.28063241106719367	0.16205533596837945	-0.09090909090909091	0.16996047430830039	-0.22529644268774704	-0.21386180543479086	0.16996047430830039	-0.2059409978260949
FYV8	0.3756963416746843	-0.1541501976284585	-0.3675889328063241	-0.11462450592885376	0.003952569169960474	-0.05928853754940711	-0.007920807608695958	-0.07509881422924901	0.04752484565217575
GAC1	0.15469849363075236	0.09881422924901186	-0.13043478260869565	-0.20948616600790515	0.17786561264822134	-0.1857707509881423	-0.14257453695652725	-0.02766798418972332	0.055445653260871704
GAL11	-0.06629935441317958	0.19367588932806323	-0.11462450592885376	-0.13043478260869565	0.13043478260869565	-0.09090909090909091	-0.34851553478262215	0.019762845849802372	-0.1346537293478313
GAL3	-0.17679827843514556	0.019762845849802372	-0.22529644268774704	-0.03557312252964427	-0.07509881422924901	-0.043478260869565216	-0.14257453695652725	0.05138339920948617	-0.12673292173913533
GAL4	0.04419956960878639	0.09090909090909091	0.20948616600790515	0.05138339920948617	0.043478260869565216	-0.03557312252964427	-0.04752484565217575	0.1067193675889328	0.015841615217391917
GAL80	-0.3093969872615047	-0.14624505928853754	-0.31225296442687744	-0.1857707509881423	0.043478260869565216	0.043478260869565216	-0.007920807608695958	-0.08300395256916997	0.031683230434783834
GAS1	-0.19889806323953874	-0.13043478260869565	-0.37549407114624506	-0.35968379446640314	0.2490118577075099	-0.13043478260869565	-0.08712888369565554	-0.06719367588932806	0.06336646086956767
GBP2	0	-0.06719367588932806	-0.05928853754940711	0.08300395256916997	-0.16205533596837945	0.2015810276679842	0.055445653260871704	-0.06719367588932806	-0.023762422826087874
GCN1	0.08839913921757278	-0.011857707509881422	-0.22529644268774704	-0.09881422924901186	0.019762845849802372	0.019762845849802372	-0.015841615217391917	-0.043478260869565216	0.023762422826087874
GCN20	-0.17679827843514556	-0.08300395256916997	-0.07509881422924901	0.06719367588932806	-0.14624505928853754	0.09090909090909091	0.08712888369565554	-0.019762845849802372	0.06336646086956767
GCN5	-0.3483943475124437	-0.06432748538011696	-0.27485380116959063	-0.4269005847953216	0.40350877192982454	-0.2631578947368421	-0.14076306861555737	0.1111111111111111	-0.04692102287185246
GCR2	0.3756963416746843	0.05928853754940711	-0.1541501976284585	-0.043478260869565216	0.07509881422924901	-0.24110671936758893	-0.10297049891304745	0.1857707509881423	-0.08712888369565554
GCS1	-0.19889806323953874	-0.03557312252964427	-0.21739130434782608	-0.2964426877470356	0.31225296442687744	-0.25691699604743085	-0.08712888369565554	0.1541501976284585	-0.03960403804347979
GDA1	-0.24309763284832514	-0.17786561264822134	-0.2490118577075099	-0.1541501976284585	0.1225296442687747	0.1225296442687747	0.0950496913043515	-0.3201581027667984	0.34851553478262215
GDS1	-0.2651974176527183	0.14624505928853754	-0.06719367588932806	-0.06719367588932806	0.06719367588932806	-0.21739130434782608	-0.22970342065218277	0.11462450592885376	-0.1504953445652232
GEF1	-0.22099784804393194	-0.2015810276679842	-0.13043478260869565	-0.2885375494071146	0.24110671936758893	-0.07509881422924901	0.04752484565217575	-0.07509881422924901	0.16633695978261512
GEM1	-0.06451747176156365	-0.021645021645021644	-0.2727272727272727	-0.16883116883116883	0.0735930735930736	0.06493506493506493	-0.017353620003765318	-0.14285714285714285	0.06073767001317861
GEP5	-0.06451747176156365	-0.14285714285714285	-0.49783549783549785	-0.37662337662337664	0.19480519480519481	-0.12554112554112554	-0.0867681000188266	-0.09090909090909091	0.06073767001317861
