ORF	Gene	gene_set	set_label
YBL071W-A	KTI11	tRNA base modification	curated_processes
YKL110C	KTI12	tRNA base modification	curated_processes
YKR095W-A	PCC1	tRNA base modification	curated_processes
YGL169W	SUA5	tRNA base modification	curated_processes
YGL232W	TAN1	tRNA base modification	curated_processes
YHR003C	TCD1	tRNA base modification	curated_processes
YKL027W	TCD2	tRNA base modification	curated_processes
YBL026W	LSM2	tRNA splicing	curated_processes
YLR438C-A	LSM3	tRNA splicing	curated_processes
YER112W	LSM4	tRNA splicing	curated_processes
YER146W	LSM5	tRNA splicing	curated_processes
YDR378C	LSM6	tRNA splicing	curated_processes
YNL147W	LSM7	tRNA splicing	curated_processes
YJR022W	LSM8	tRNA splicing	curated_processes
YMR087W	PDL32	tRNA splicing	curated_processes
YBR022W	POA1	tRNA splicing	curated_processes
YMR059W	SEN15	tRNA splicing	curated_processes
YLR105C	SEN2	tRNA splicing	curated_processes
YAR008W	SEN34	tRNA splicing	curated_processes
YPL083C	SEN54	tRNA splicing	curated_processes
YLR375W	STP3	tRNA splicing	curated_processes
YOL102C	TPT1	tRNA splicing	curated_processes
YJL087C	TRL1	tRNA splicing	curated_processes
YOR112W	CEX1	nuclear trasnport of tRNA	curated_processes
YKL205W	LOS1	nuclear trasnport of tRNA	curated_processes
YGR264C	MES1	nuclear trasnport of tRNA	curated_processes
YDR335W	MSN5	nuclear trasnport of tRNA	curated_processes
YOR160W	MTR10	nuclear trasnport of tRNA	curated_processes
YPL212C	PUS1	nuclear trasnport of tRNA	curated_processes
YNR034W	SOL1	nuclear trasnport of tRNA	curated_processes
YCR073W-A	SOL2	nuclear trasnport of tRNA	curated_processes
YLL024C	SSA2	nuclear trasnport of tRNA	curated_processes
YPR080W	TEF1	nuclear trasnport of tRNA	curated_processes
YBR118W	TEF2	nuclear trasnport of tRNA	curated_processes
YGR090W	UTP22	nuclear trasnport of tRNA	curated_processes
YGR128C	UTP8	nuclear trasnport of tRNA	curated_processes
YOL139C	CDC33	CRM1 mediated mRNA export	curated_processes
YGR218W	CRM1	CRM1 mediated mRNA export	curated_processes
YCL011C	GBP2	CRM1 mediated mRNA export	curated_processes
YNL004W	HRB1	CRM1 mediated mRNA export	curated_processes
YBR017C	KAP104	CRM1 mediated mRNA export	curated_processes
YGL122C	NAB2	CRM1 mediated mRNA export	curated_processes
YOL123W	HRP1	CRM1 mediated mRNA export	curated_processes
YPL178W	CBC2	mRNA export	curated_processes
YOL139C	CDC33	mRNA export	curated_processes
YGR218W	CRM1	mRNA export	curated_processes
YOR046C	DBP5	mRNA export	curated_processes
YCL011C	GBP2	mRNA export	curated_processes
YDL207W	GLE1	mRNA export	curated_processes
YER107C	GLE2	mRNA export	curated_processes
YDR138W	HPR1	mRNA export	curated_processes
YNL004W	HRB1	mRNA export	curated_processes
YBR017C	KAP104	mRNA export	curated_processes
YHR081W	LRP1	mRNA export	curated_processes
YPL169C	MEX67	mRNA export	curated_processes
YHR015W	MIP6	mRNA export	curated_processes
YOR160W	MTR10	mRNA export	curated_processes
YKL186C	MTR2	mRNA export	curated_processes
YGL122C	NAB2	mRNA export	curated_processes
YDR432W	NPL3	mRNA export	curated_processes
YMR047C	NUP116	mRNA export	curated_processes
YKR002W	PAP1	mRNA export	curated_processes
YLR016C	PML1	mRNA export	curated_processes
YDR159W	SAC3	mRNA export	curated_processes
YDR363W-A	SEM1	mRNA export	curated_processes
YCL037C	SRO9	mRNA export	curated_processes
YDL084W	SUB2	mRNA export	curated_processes
YBR111W-A	SUS1	mRNA export	curated_processes
YNL253W	TEX1	mRNA export	curated_processes
YOL072W	THP1	mRNA export	curated_processes
YHR167W	THP2	mRNA export	curated_processes
YDR457W	TOM1	mRNA export	curated_processes
YDR381W	YRA1	mRNA export	curated_processes
YKL214C	YRA2	mRNA export	curated_processes
YMR273C	ZDS1	mRNA export	curated_processes
YBL074C	AAR2	mRNA splicing	curated_processes
YDL074C	BRE1	mRNA splicing	curated_processes
YPR057W	BRR1	mRNA splicing	curated_processes
YGL174W	BUD13	mRNA splicing	curated_processes
YCR063W	BUD31	mRNA splicing	curated_processes
YHL038C	CBP2	mRNA splicing	curated_processes
YDR364C	CDC40	mRNA splicing	curated_processes
YDR163W	CWC15	mRNA splicing	curated_processes
YDR482C	CWC21	mRNA splicing	curated_processes
YGR278W	CWC22	mRNA splicing	curated_processes
YGL128C	CWC23	mRNA splicing	curated_processes
YNL245C	CWC25	mRNA splicing	curated_processes
YPL064C	CWC27	mRNA splicing	curated_processes
YKL149C	DBR1	mRNA splicing	curated_processes
YPR082C	DIB1	mRNA splicing	curated_processes
YGR093W	DRN1	mRNA splicing	curated_processes
YBR065C	ECM2	mRNA splicing	curated_processes
YBR102C	EXO84	mRNA splicing	curated_processes
YOR319W	HSH49	mRNA splicing	curated_processes
YIR005W	IST3	mRNA splicing	curated_processes
YJR050W	ISY1	mRNA splicing	curated_processes
YHR156C	LIN1	mRNA splicing	curated_processes
LSR1	LSR1	mRNA splicing	curated_processes
YDL087C	LUC7	mRNA splicing	curated_processes
YNL210W	MER1	mRNA splicing	curated_processes
YPL184C	MRN1	mRNA splicing	curated_processes
YIR021W	MRS1	mRNA splicing	curated_processes
YIR009W	MSL1	mRNA splicing	curated_processes
YLR116W	MSL5	mRNA splicing	curated_processes
YBR119W	MUD1	mRNA splicing	curated_processes
YKL074C	MUD2	mRNA splicing	curated_processes
YPL190C	NAB3	mRNA splicing	curated_processes
YHR086W	NAM8	mRNA splicing	curated_processes
YDR432W	NPL3	mRNA splicing	curated_processes
YKR086W	PRP16	mRNA splicing	curated_processes
YLL036C	PRP19	mRNA splicing	curated_processes
YNR011C	PRP2	mRNA splicing	curated_processes
YER013W	PRP22	mRNA splicing	curated_processes
YGL120C	PRP43	mRNA splicing	curated_processes
YAL032C	PRP45	mRNA splicing	curated_processes
YHR165C	PRP8	mRNA splicing	curated_processes
YDL030W	PRP9	mRNA splicing	curated_processes
YPR094W	RDS3	mRNA splicing	curated_processes
YML049C	RSE1	mRNA splicing	curated_processes
YFR005C	SAD1	mRNA splicing	curated_processes
YDR088C	SLU7	mRNA splicing	curated_processes
YIL061C	SNP1	mRNA splicing	curated_processes
snR6	SNR6	mRNA splicing	curated_processes
YKL173W	SNU114	mRNA splicing	curated_processes
YEL026W	SNU13	mRNA splicing	curated_processes
YDL098C	SNU23	mRNA splicing	curated_processes
YDR240C	SNU56	mRNA splicing	curated_processes
YOR308C	SNU66	mRNA splicing	curated_processes
YGR013W	SNU71	mRNA splicing	curated_processes
YBR152W	SPP381	mRNA splicing	curated_processes
YNL187W	SWT21	mRNA splicing	curated_processes
YDR416W	SYF1	mRNA splicing	curated_processes
YPL157W	TGS1	mRNA splicing	curated_processes
YPR045C	THP3	mRNA splicing	curated_processes
YLR298C	YHC1	mRNA splicing	curated_processes
YJR084W	YJR084W	mRNA splicing	curated_processes
YKL095W	YJU2	mRNA splicing	curated_processes
YLR277C	YSH1	mRNA splicing	curated_processes
