ORF	term
YPL157W	budding
YPL158C	budding
YPL164C	budding
YPL194W	budding
YPL200W	budding
YPL204W	budding
YPL204W	budding
YPL205C	budding
YPL209C	budding
YPL218W	budding
YPL221W	budding
YPL232W	budding
YPL242C	budding
YPL249C	budding
YPL253C	budding
YPL269W	budding
YPR007C	budding
YPR028W	budding
YPR036W-A	budding
YPR046W	budding
YPR054W	budding
YPR055W	budding
YPR083W	budding
YPR111W	budding
YPR111W	budding
YPR119W	budding
YPR119W	budding
YPR120C	budding
YPR122W	budding
YPR122W	budding
YPR135W	budding
YPR141C	budding
YPR149W	budding
YPR159W	budding
YPR165W	budding
YPR165W	budding
YPR171W	budding
YPR188C	budding
YPR192W	budding
YAL013W	carbohydrate metabolic process
YAL017W	carbohydrate metabolic process
YAL038W	carbohydrate metabolic process
YBL058W	carbohydrate metabolic process
YBL061C	carbohydrate metabolic process
YBR001C	carbohydrate metabolic process
YBR018C	carbohydrate metabolic process
YBR019C	carbohydrate metabolic process
YBR020W	carbohydrate metabolic process
YBR023C	carbohydrate metabolic process
YBR058C	carbohydrate metabolic process
YBR105C	carbohydrate metabolic process
YBR126C	carbohydrate metabolic process
YBR145W	carbohydrate metabolic process
YBR149W	carbohydrate metabolic process
YBR160W	carbohydrate metabolic process
YBR196C	carbohydrate metabolic process
YBR218C	carbohydrate metabolic process
YBR229C	carbohydrate metabolic process
YBR239C	carbohydrate metabolic process
YBR289W	carbohydrate metabolic process
YBR297W	carbohydrate metabolic process
YBR299W	carbohydrate metabolic process
YCL018W	carbohydrate metabolic process
YCL039W	carbohydrate metabolic process
YCL040W	carbohydrate metabolic process
YCR005C	carbohydrate metabolic process
YCR012W	carbohydrate metabolic process
YCR036W	carbohydrate metabolic process
YDL049C	carbohydrate metabolic process
YDL085W	carbohydrate metabolic process
YDL189W	carbohydrate metabolic process
YDL236W	carbohydrate metabolic process
YDL240W	carbohydrate metabolic process
YDL246C	carbohydrate metabolic process
YDR001C	carbohydrate metabolic process
YDR009W	carbohydrate metabolic process
YDR017C	carbohydrate metabolic process
YDR028C	carbohydrate metabolic process
YDR050C	carbohydrate metabolic process
YDR074W	carbohydrate metabolic process
YDR081C	carbohydrate metabolic process
YDR099W	carbohydrate metabolic process
YDR207C	carbohydrate metabolic process
YDR221W	carbohydrate metabolic process
YDR255C	carbohydrate metabolic process
YDR287W	carbohydrate metabolic process
YDR368W	carbohydrate metabolic process
YDR420W	carbohydrate metabolic process
YDR477W	carbohydrate metabolic process
YDR511W	carbohydrate metabolic process
YEL004W	carbohydrate metabolic process
YEL011W	carbohydrate metabolic process
YEL012W	carbohydrate metabolic process
YEL040W	carbohydrate metabolic process
YEL058W	carbohydrate metabolic process
YER054C	carbohydrate metabolic process
YER059W	carbohydrate metabolic process
YER062C	carbohydrate metabolic process
YER065C	carbohydrate metabolic process
YER129W	carbohydrate metabolic process
YER133W	carbohydrate metabolic process
YER177W	carbohydrate metabolic process
YFL053W	carbohydrate metabolic process
YFR003C	carbohydrate metabolic process
YFR015C	carbohydrate metabolic process
YFR017C	carbohydrate metabolic process
YFR042W	carbohydrate metabolic process
YFR053C	carbohydrate metabolic process
YGL027C	carbohydrate metabolic process
YGL062W	carbohydrate metabolic process
YGL084C	carbohydrate metabolic process
YGL115W	carbohydrate metabolic process
YGL134W	carbohydrate metabolic process
YGL156W	carbohydrate metabolic process
YGL179C	carbohydrate metabolic process
YGL227W	carbohydrate metabolic process
YGL253W	carbohydrate metabolic process
YGR032W	carbohydrate metabolic process
YGR143W	carbohydrate metabolic process
YGR189C	carbohydrate metabolic process
YGR192C	carbohydrate metabolic process
YGR194C	carbohydrate metabolic process
YGR240C	carbohydrate metabolic process
YGR254W	carbohydrate metabolic process
YGR287C	carbohydrate metabolic process
YGR288W	carbohydrate metabolic process
YGR289C	carbohydrate metabolic process
YGR292W	carbohydrate metabolic process
YHL025W	carbohydrate metabolic process
YHL032C	carbohydrate metabolic process
YHR043C	carbohydrate metabolic process
YHR044C	carbohydrate metabolic process
YHR046C	carbohydrate metabolic process
YHR047C	carbohydrate metabolic process
YHR079C	carbohydrate metabolic process
YHR100C	carbohydrate metabolic process
YHR104W	carbohydrate metabolic process
YHR142W	carbohydrate metabolic process
YHR174W	carbohydrate metabolic process
YIL017C	carbohydrate metabolic process
YIL045W	carbohydrate metabolic process
YIL050W	carbohydrate metabolic process
YIL053W	carbohydrate metabolic process
YIL097W	carbohydrate metabolic process
YIL099W	carbohydrate metabolic process
YIL155C	carbohydrate metabolic process
YIL162W	carbohydrate metabolic process
YIL172C	carbohydrate metabolic process
YJL034W	carbohydrate metabolic process
YJL052W	carbohydrate metabolic process
YJL089W	carbohydrate metabolic process
YJL099W	carbohydrate metabolic process
YJL137C	carbohydrate metabolic process
YJL153C	carbohydrate metabolic process
YJL155C	carbohydrate metabolic process
YJL174W	carbohydrate metabolic process
YJL176C	carbohydrate metabolic process
YJL216C	carbohydrate metabolic process
YJL221C	carbohydrate metabolic process
YJR009C	carbohydrate metabolic process
YJR030C	carbohydrate metabolic process
YJR060W	carbohydrate metabolic process
YJR075W	carbohydrate metabolic process
YJR096W	carbohydrate metabolic process
YJR153W	carbohydrate metabolic process
YJR159W	carbohydrate metabolic process
YKL035W	carbohydrate metabolic process
YKL038W	carbohydrate metabolic process
YKL048C	carbohydrate metabolic process
YKL060C	carbohydrate metabolic process
YKL104C	carbohydrate metabolic process
YKL127W	carbohydrate metabolic process
YKL152C	carbohydrate metabolic process
YKR027W	carbohydrate metabolic process
YKR058W	carbohydrate metabolic process
YKR097W	carbohydrate metabolic process
YLL026W	carbohydrate metabolic process
YLR044C	carbohydrate metabolic process
YLR070C	carbohydrate metabolic process
YLR081W	carbohydrate metabolic process
YLR134W	carbohydrate metabolic process
YLR258W	carbohydrate metabolic process
YLR273C	carbohydrate metabolic process
YLR300W	carbohydrate metabolic process
YLR330W	carbohydrate metabolic process
YLR342W	carbohydrate metabolic process
YLR345W	carbohydrate metabolic process
YLR377C	carbohydrate metabolic process
YML028W	carbohydrate metabolic process
YML051W	carbohydrate metabolic process
YML070W	carbohydrate metabolic process
YML100W	carbohydrate metabolic process
YMR099C	carbohydrate metabolic process
YMR105C	carbohydrate metabolic process
YMR135C	carbohydrate metabolic process
YMR145C	carbohydrate metabolic process
YMR164C	carbohydrate metabolic process
YMR205C	carbohydrate metabolic process
YMR237W	carbohydrate metabolic process
YMR261C	carbohydrate metabolic process
YMR280C	carbohydrate metabolic process
YMR311C	carbohydrate metabolic process
YNL027W	carbohydrate metabolic process
YNL117W	carbohydrate metabolic process
YNL199C	carbohydrate metabolic process
YNL216W	carbohydrate metabolic process
YNR032W	carbohydrate metabolic process
YOL030W	carbohydrate metabolic process
YOL032W	carbohydrate metabolic process
YOL045W	carbohydrate metabolic process
YOL059W	carbohydrate metabolic process
YOL086C	carbohydrate metabolic process
YOL116W	carbohydrate metabolic process
YOL126C	carbohydrate metabolic process
YOL136C	carbohydrate metabolic process
YOL157C	carbohydrate metabolic process
YOR047C	carbohydrate metabolic process
YOR120W	carbohydrate metabolic process
YOR163W	carbohydrate metabolic process
YOR178C	carbohydrate metabolic process
YOR290C	carbohydrate metabolic process
YOR299W	carbohydrate metabolic process
YOR336W	carbohydrate metabolic process
YOR344C	carbohydrate metabolic process
YPL016W	carbohydrate metabolic process
YPL031C	carbohydrate metabolic process
YPL075W	carbohydrate metabolic process
YPL133C	carbohydrate metabolic process
YPL180W	carbohydrate metabolic process
YPL201C	carbohydrate metabolic process
YPL219W	carbohydrate metabolic process
YPL248C	carbohydrate metabolic process
YPR026W	carbohydrate metabolic process
YPR159W	carbohydrate metabolic process
YPR160W	carbohydrate metabolic process
YPR165W	carbohydrate metabolic process
YPR184W	carbohydrate metabolic process
YCL040W	carbohydrate transport
YDL194W	carbohydrate transport
YDL245C	carbohydrate transport
YDL247W	carbohydrate transport
YDR277C	carbohydrate transport
YDR342C	carbohydrate transport
YDR343C	carbohydrate transport
YDR345C	carbohydrate transport
YDR536W	carbohydrate transport
YEL069C	carbohydrate transport
YFL011W	carbohydrate transport
YFR053C	carbohydrate transport
YGL084C	carbohydrate transport
YGL253W	carbohydrate transport
YGR097W	carbohydrate transport
YGR289C	carbohydrate transport
YHR092C	carbohydrate transport
YHR094C	carbohydrate transport
YHR096C	carbohydrate transport
YJL214W	carbohydrate transport
YJL219W	carbohydrate transport
YJR158W	carbohydrate transport
YJR160C	carbohydrate transport
YKL038W	carbohydrate transport
YLL043W	carbohydrate transport
YLR081W	carbohydrate transport
YMR011W	carbohydrate transport
YNL318C	carbohydrate transport
YNR072W	carbohydrate transport
YOL156W	carbohydrate transport
YPL026C	carbohydrate transport
YPL189W	carbohydrate transport
YPR115W	carbohydrate transport
YAL021C	CCR4-NOT core complex
YCR093W	CCR4-NOT core complex
YDL165W	CCR4-NOT core complex
YER068W	CCR4-NOT core complex
YGR134W	CCR4-NOT core complex
