ORF	Gene_uniq	cluster	gene_name
YOR265W	YOR265W	12	RBL2
YOR266W	YOR266W	12	PNT1
YPR023C	YPR023C	12	EAF3
YPR070W	YPR070W	12	MED1
YPR167C	YPR167C	12	MET16
YAL023C	YAL023C	11	PMT2
YBL082C	YBL082C	11	ALG3
YBR015C	YBR015C	11	MNN2
YBR162C	YBR162C	11	TOS1
YBR171W	YBR171W	11	SEC66
YBR200W	YBR200W	11	BEM1
YBR229C	YBR229C	11	ROT2
YCL001W	YCL001W	11	RER1
YCR017C	YCR017C	11	CWH43
YCR063W	YCR063W	11	BUD31
YDL095W	YDL095W	11	PMT1
YDR245W	YDR245W	11	MNN10
YDR372C	YDR372C	11	VPS74
YDR389W	YDR389W	11	SAC7
YDR414C	YDR414C	11	ERD1
YEL031W	YEL031W	11	SPF1
YER005W	YER005W	11	YND1
YFL031W	YFL031W	11	HAC1
YGL027C	YGL027C	11	CWH41
YGL084C	YGL084C	11	GUP1
YGL226C-A	YGL226C-A	11	OST5
YGL228W	YGL228W	11	SHE10
YGR166W	YGR166W	11	TRS65
YGR227W	YGR227W	11	DIE2
YHR078W	YHR078W	11	YHR078W
YHR079C	YHR079C	11	IRE1
YIR002C	YIR002C	11	MPH1
YJL062W	YJL062W	11	LAS21
YJL139C	YJL139C	11	YUR1
YJL183W	YJL183W	11	MNN11
YJR075W	YJR075W	11	HOC1
YJR117W	YJR117W	11	STE24
YKL073W	YKL073W	11	LHS1
YKL190W	YKL190W	11	CNB1
YML019W	YML019W	11	OST6
YML029W	YML029W	11	USA1
YML055W	YML055W	11	SPC2
YMR022W	YMR022W	11	UBC7
YMR214W	YMR214W	11	SCJ1
YMR264W	YMR264W	11	CUE1
YMR307W	YMR307W	11	GAS1
YNL219C	YNL219C	11	ALG9
YNL238W	YNL238W	11	KEX2
YNL322C	YNL322C	11	KRE1
YNR030W	YNR030W	11	ALG12
YOL013C	YOL013C	11	HRD1
YOR002W	YOR002W	11	ALG6
YOR067C	YOR067C	11	ALG8
YOR085W	YOR085W	11	OST3
YOR154W	YOR154W	11	SLP1
YOR216C	YOR216C	11	RUD3
YPL161C	YPL161C	11	BEM4
YPL227C	YPL227C	11	ALG5
YAL013W	YAL013W	10	DEP1
YAR003W	YAR003W	10	SWD1
YBL052C	YBL052C	10	SAS3
YBR095C	YBR095C	10	RXT2
YBR103W	YBR103W	10	SIF2
YBR175W	YBR175W	10	SWD3
YBR193C	YBR193C_TSQ741	10	MED8
YBR194W	YBR194W	10	AIM4
YCL032W	YCL032W	10	STE50
YCR033W	YCR033W	10	SNT1
YDL074C	YDL074C	10	BRE1
YDL140C	YDL140C_TSQ804	10	RPO21
YDR145W	YDR145W_TSQ515	10	TAF12
YDR207C	YDR207C	10	UME6
YDR289C	YDR289C	10	RTT103
YDR392W	YDR392W	10	SPT3
YDR448W	YDR448W	10	ADA2
YDR469W	YDR469W	10	SDC1
YER139C	YER139C	10	RTR1
YFL023W	YFL023W	10	BUD27
YGL058W	YGL058W	10	RAD6
YGL127C	YGL127C	10	SOH1
YGL194C	YGL194C	10	HOS2
YGL244W	YGL244W	10	RTF1
YGR071C	YGR071C	10	ENV11
YGR252W	YGR252W	10	GCN5
YHR041C	YHR041C	10	SRB2
YIL040W	YIL040W	10	APQ12
YIL084C	YIL084C	10	SDS3
YIL112W	YIL112W	10	HOS4
YKL185W	YKL185W	10	ASH1
YKR028W	YKR028W	10	SAP190
YKR029C	YKR029C	10	SET3
YKR062W	YKR062W_TSQ692	10	TFA2
YLR015W	YLR015W	10	BRE2
YLR055C	YLR055C	10	SPT8
YLR418C	YLR418C	10	CDC73
YML112W	YML112W	10	CTK3
YML123C	YML123C	10	PHO84
YMR263W	YMR263W	10	SAP30
YNL097C	YNL097C	10	PHO23
YNL136W	YNL136W	10	EAF7
YNL330C	YNL330C	10	RPD3
YOL004W	YOL004W	10	SIN3
YOL115W	YOL115W	10	PAP2
YOR064C	YOR064C	10	YNG1
YOR123C	YOR123C	10	LEO1
YOR179C	YOR179C	10	SYC1
YPL055C	YPL055C	10	LGE1
YPL138C	YPL138C	10	SPP1
YPL139C	YPL139C	10	UME1
YPL181W	YPL181W	10	CTI6
YPR031W	YPR031W	10	NTO1
YBL072C	YBL072C	9	RPS8A
YBR107C	YBR107C	9	IML3
YBR274W	YBR274W	9	CHK1
YCL016C	YCL016C	9	DCC1
YCL029C	YCL029C	9	BIK1
YDL191W	YDL191W	9	RPL35A
YDR014W	YDR014W	9	RAD61
YDR150W	YDR150W	9	NUM1
YDR156W	YDR156W	9	RPA14
YDR225W	YDR225W	9	HTA1
YDR254W	YDR254W	9	CHL4
YDR315C	YDR315C	9	IPK1
YDR318W	YDR318W	9	MCM21
YDR383C	YDR383C	9	NKP1
YDR424C	YDR424C	9	DYN2
YDR488C	YDR488C	9	PAC11
