ORF	cluster	gene_name
YMR255W	7	GFD1
YNL070W	7	TOM7
YNL236W	7	SIN4
YOL044W	7	PEX15
YOL081W	7	IRA2
YOR109W	7	INP53
YOR115C	7	TRS33
YOR209C	7	NPT1
YOR346W	7	REV1
YOR360C	7	PDE2
YPL167C	7	REV3
YAL021C	6	CCR4
YBL027W	6	RPL19B
YBL051C	6	PIN4
YBL103C	6	RTG3
YBR076W	6	ECM8
YBR181C	6	RPS6B
YDL061C	6	RPS29B
YDL191W	6	RPL35A
YDR128W	6	MTC5
YDR382W	6	RPP2B
YDR508C	6	GNP1
YDR532C	6	KRE28
YER019W	6	ISC1
YER174C	6	GRX4
YFR031C-A	6	RPL2A
YFR040W	6	SAP155
YGL031C	6	RPL24A
YGL060W	6	YBP2
YGL252C	6	RTG2
YGR054W	6	YGR054W
YHR203C	6	RPS4B
YIL036W	6	CST6
YJL138C	6	TIF2
YJR036C	6	HUL4
YJR070C	6	LIA1
YKL149C	6	DBR1
YKL176C	6	LST4
YKR007W	6	MEH1
YKR059W	6	TIF1
YKR074W	6	AIM29
YKR099W	6	BAS1
YLR089C	6	ALT1
YLR436C	6	ECM30
YLR452C	6	SST2
YML063W	6	RPS1B
YML066C	6	SMA2
YML121W	6	GTR1
YMR143W	6	RPS16A
YMR199W	6	CLN1
YMR304W	6	UBP15
YNL037C	6	IDH1
YNL076W	6	MKS1
YNL135C	6	FPR1
YNL227C	6	JJJ1
YNL229C	6	URE2
YNL253W	6	TEX1
YNL302C	6	RPS19B
YOL064C	6	MET22
YOL067C	6	RTG1
YPL177C	6	CUP9
YPL226W	6	NEW1
YPL239W	6	YAR1
YPR043W	6	RPL43A
YPR045C	6	THP3
YPR065W	6	ROX1
YPR066W	6	UBA3
YPR119W	6	CLB2
YBL072C	5	RPS8A
YBL087C	5	RPL23A
YBR009C	5	HHF1
YBR010W	5	HHT1
YBR082C	5	UBC4
YBR162W-A	5	YSY6
YBR195C	5	MSI1
YBR278W	5	DPB3
YCL010C	5	SGF29
YCR031C	5	RPS14A
YCR036W	5	RBK1
YDL020C	5	RPN4
YDL082W	5	RPL13A
YDL083C	5	RPS16B
YDL126C	5	CDC48
YDL130W	5	RPP1B
YDL133C-A	5	RPL41B
YDL136W	5	RPL35B
YDL232W	5	OST4
YDR061W	5	YDR061W
YDR096W	5	GIS1
YDR174W	5	HMO1
YDR217C	5	RAD9
YDR225W	5	HTA1
YDR310C	5	SUM1
YDR383C	5	NKP1
YDR420W	5	HKR1
YEL013W	5	VAC8
YEL064C	5	AVT2
YER075C	5	PTP3
YER164W	5	CHD1
YER173W	5	RAD24
YFR009W	5	GCN20
YGL029W	5	CGR1
YGL147C	5	RPL9A
YGL195W	5	GCN1
YGR085C	5	RPL11B
YGR118W	5	RPS23A
YGR214W	5	RPS0A
YHL033C	5	RPL8A
YIL133C	5	RPL16A
YJL115W	5	ASF1
YJL177W	5	RPL17B
YKL121W	5	DGR2
YLR131C	5	ACE2
YLR182W	5	SWI6
YML102W	5	CAC2
YMR179W	5	SPT21
YMR230W	5	RPS10B
YNL031C	5	HHT2
YNL064C	5	YDJ1
YNL206C	5	RTT106
YNL246W	5	VPS75
YOL068C	5	HST1
YOL108C	5	INO4
YOR025W	5	HST3
YOR083W	5	WHI5
YOR298C-A	5	MBF1
YOR368W	5	RAD17
YPL079W	5	RPL21B
YPL106C	5	SSE1
YPL194W	5	DDC1
YPR018W	5	RLF2
YAL002W	4	VPS8
YAL023C	4	PMT2
YBR015C	4	MNN2
YBR036C	4	CSG2
YBR168W	4	PEX32
YBR171W	4	SEC66
YBR229C	4	ROT2
YCR017C	4	CWH43
YCR044C	4	PER1
YCR063W	4	BUD31
YDL006W	4	PTC1
YDL076C	4	RXT3
YDL095W	4	PMT1
YDR069C	4	DOA4
YDR072C	4	IPT1
YDR162C	4	NBP2
YDR207C	4	UME6
YDR245W	4	MNN10
YDR289C	4	RTT103
YDR311W	4	TFB1
YDR335W	4	MSN5
YDR372C	4	VPS74
YDR414C	4	ERD1
YEL031W	4	SPF1
YEL042W	4	GDA1
YER005W	4	YND1
YER111C	4	SWI4
YFL025C	4	BST1
YGL025C	4	PGD1
YGL027C	4	CWH41
YGL084C	4	GUP1
YGL151W	4	NUT1
YHR135C	4	YCK1
YIL021W	4	RPB3
YJL062W	4	LAS21
YJL082W	4	IML2
YJL128C	4	PBS2
YJL139C	4	YUR1
YJL183W	4	MNN11
YJR075W	4	HOC1
YJR145C	4	RPS4A
YKL041W	4	VPS24
YKR062W	4	TFA2
YLL038C	4	ENT4
YLR006C	4	SSK1
YLR087C	4	CSF1
YLR113W	4	HOG1
