ORF	cluster	gene_name
YDR126W	Golgi and ER_GO_1	SWF1
YDR221W	Golgi and ER_GO_1	GTB1
YDR245W	Golgi and ER_GO_1	MNN10
YDR388W	Golgi and ER_GO_1	RVS167
YDR414C	Golgi and ER_GO_1	ERD1
YEL013W	Golgi and ER_GO_1	VAC8
YER031C	Golgi and ER_GO_1	YPT31
YER166W	Golgi and ER_GO_1	DNF1
YFL025C	Golgi and ER_GO_1	BST1
YGL027C	Golgi and ER_GO_1	CWH41
YGL084C	Golgi and ER_GO_1	GUP1
YGL167C	Golgi and ER_GO_1	PMR1
YGL203C	Golgi and ER_GO_1	KEX1
YGL226C-A	Golgi and ER_GO_1	OST5
YGR086C	Golgi and ER_GO_1	PIL1
YGR097W	Golgi and ER_GO_1	ASK10
YGR184C	Golgi and ER_GO_1	UBR1
YGR227W	Golgi and ER_GO_1	DIE2
YHR079C	Golgi and ER_GO_1	IRE1
YHR114W	Golgi and ER_GO_1	BZZ1
YHR142W	Golgi and ER_GO_1	CHS7
YIL044C	Golgi and ER_GO_1	AGE2
YJL062W	Golgi and ER_GO_1	LAS21
YJL139C	Golgi and ER_GO_1	YUR1
YJL183W	Golgi and ER_GO_1	MNN11
YJR010C-A	Golgi and ER_GO_1	SPC1
YJR066W	Golgi and ER_GO_1	TOR1
YJR075W	Golgi and ER_GO_1	HOC1
YJR117W	Golgi and ER_GO_1	STE24
YKL201C	Golgi and ER_GO_1	MNN4
YLR083C	Golgi and ER_GO_1	EMP70
YLR087C	Golgi and ER_GO_1	CSF1
YLR114C	Golgi and ER_GO_1	AVL9
YMR035W	Golgi and ER_GO_1	IMP2
YMR109W	Golgi and ER_GO_1	MYO5
YMR216C	Golgi and ER_GO_1	SKY1
YMR266W	Golgi and ER_GO_1	RSN1
YNL027W	Golgi and ER_GO_1	CRZ1
YNL032W	Golgi and ER_GO_1	SIW14
YNL229C	Golgi and ER_GO_1	URE2
YNL298W	Golgi and ER_GO_1	CLA4
YNR006W	Golgi and ER_GO_1	VPS27
YNR030W	Golgi and ER_GO_1	ALG12
YOR002W	Golgi and ER_GO_1	ALG6
YOR008C	Golgi and ER_GO_1	SLG1
YOR016C	Golgi and ER_GO_1	ERP4
YOR030W	Golgi and ER_GO_1	DFG16
YOR034C	Golgi and ER_GO_1	AKR2
YOR043W	Golgi and ER_GO_1	WHI2
YOR067C	Golgi and ER_GO_1	ALG8
YOR085W	Golgi and ER_GO_1	OST3
YOR171C	Golgi and ER_GO_1	LCB4
YOR275C	Golgi and ER_GO_1	RIM20
YOR327C	Golgi and ER_GO_1	SNC2
YPL100W	Golgi and ER_GO_1	ATG21
YPL183C	Golgi and ER_GO_1	RTT10
YPL227C	Golgi and ER_GO_1	ALG5
YPR009W	Golgi and ER_GO_1	SUT2
YPR032W	Golgi and ER_GO_1	SRO7
YAL055W	peroxisome_GO_0	PEX22
YBR168W	peroxisome_GO_0	PEX32
YDL065C	peroxisome_GO_0	PEX19
YDR233C	peroxisome_GO_0	RTN1
YDR265W	peroxisome_GO_0	PEX10
YDR329C	peroxisome_GO_0	PEX3
YDR424C	peroxisome_GO_0	DYN2
YDR479C	peroxisome_GO_0	PEX29
YGL115W	peroxisome_GO_0	SNF4
YGL153W	peroxisome_GO_0	PEX14
YGR077C	peroxisome_GO_0	PEX8
YGR133W	peroxisome_GO_0	PEX4
YJL210W	peroxisome_GO_0	PEX2
YKL197C	peroxisome_GO_0	PEX1
YKR001C	peroxisome_GO_0	VPS1
YLL001W	peroxisome_GO_0	DNM1
YMR026C	peroxisome_GO_0	PEX12
YMR304W	peroxisome_GO_0	UBP15
YNL329C	peroxisome_GO_0	PEX6
YOL044W	peroxisome_GO_0	PEX15
YBL017C	vacuole_GO_1	PEP1
YBL058W	vacuole_GO_1	SHP1
YBL078C	vacuole_GO_1	ATG8
YBR036C	vacuole_GO_1	CSG2
YBR131W	vacuole_GO_1	CCZ1
YCL001W	vacuole_GO_1	RER1
YCR044C	vacuole_GO_1	PER1
