cluster	query_uniq1	query_ORF1
cytoplasmic translation	RPS10A_dma4687	YOR293W
cytoplasmic translation	RPS10B_dma3826	YMR230W
cytoplasmic translation	RPS10B_sn3989	YMR230W
cytoplasmic translation	RPS11A_sn4111	YDR025W
cytoplasmic translation	RPS11B_dma225	YBR048W
cytoplasmic translation	RPS11B_sn4112	YBR048W
cytoplasmic translation	RPS13_tsa1111	YDR064W
cytoplasmic translation	RPS13_tsq1375	YDR064W
cytoplasmic translation	RPS14A_dma559	YCR031C
cytoplasmic translation	RPS14A_sn4134	YCR031C
cytoplasmic translation	RPS16A_dma3722	YMR143W
cytoplasmic translation	RPS16A_sn3991	YMR143W
cytoplasmic translation	RPS16B_dma679	YDL083C
cytoplasmic translation	RPS16B_sn3992	YDL083C
cytoplasmic translation	RPS17A_sn4116	YML024W
cytoplasmic translation	RPS17B_dma1183	YDR447C
cytoplasmic translation	RPS17B_sn4113	YDR447C
cytoplasmic translation	RPS18A_sn4072	YDR450W
cytoplasmic translation	RPS18B_dma3536	YML026C
cytoplasmic translation	RPS18B_sn3993	YML026C
cytoplasmic translation	RPS19A_sn3994	YOL121C
cytoplasmic translation	RPS19B_sn3995	YNL302C
cytoplasmic translation	RPS1A_dma3482	YLR441C
cytoplasmic translation	RPS1A_sn3996	YLR441C
cytoplasmic translation	RPS1B_sn3997	YML063W
cytoplasmic translation	RPS20_damp551	YHL015W
cytoplasmic translation	RPS21A_dma2980	YKR057W
cytoplasmic translation	RPS21B_dma2527	YJL136C
cytoplasmic translation	RPS22A_sn4000	YJL190C
cytoplasmic translation	RPS22B_dma3402	YLR367W
cytoplasmic translation	RPS22B_sn4001	YLR367W
cytoplasmic translation	RPS24A_dma1373	YER074W
cytoplasmic translation	RPS24A_sn4073	YER074W
cytoplasmic translation	RPS24B_sn4002	YIL069C
cytoplasmic translation	RPS25A_dma1808	YGR027C
cytoplasmic translation	RPS25A_sn4003	YGR027C
cytoplasmic translation	RPS25B_sn4004	YLR333C
cytoplasmic translation	RPS26A_sn4005	YGL189C
cytoplasmic translation	RPS26B_dma1424	YER131W
cytoplasmic translation	RPS26B_sn4006	YER131W
cytoplasmic translation	RPS27A_dma2858	YKL156W
cytoplasmic translation	RPS27A_sn3942	YKL156W
cytoplasmic translation	RPS27B_sn4007	YHR021C
cytoplasmic translation	RPS28A_dma4583	YOR167C
cytoplasmic translation	RPS28A_sn4008	YOR167C
cytoplasmic translation	RPS28B_dma3301	YLR264W
cytoplasmic translation	RPS28B_sn4009	YLR264W
cytoplasmic translation	RPS29A_dma3432	YLR388W
cytoplasmic translation	RPS29A_sn4010	YLR388W
cytoplasmic translation	RPS29B_dma657	YDL061C
cytoplasmic translation	RPS29B_sn4011	YDL061C
cytoplasmic translation	RPS30A_dma3329	YLR287C-A
cytoplasmic translation	RPS30A_sn4012	YLR287C-A
cytoplasmic translation	RPS30B_dma4575	YOR182C
cytoplasmic translation	RPS30B_sn4013	YOR182C
cytoplasmic translation	RPS4B_dma2243	YHR203C
cytoplasmic translation	RPS4B_sn4014	YHR203C
cytoplasmic translation	RPS6A_dma4828	YPL090C
cytoplasmic translation	RPS6A_sn4017	YPL090C
cytoplasmic translation	RPS6B_dma327	YBR181C
cytoplasmic translation	RPS6B_sn3943	YBR181C
cytoplasmic translation	RPS7A_sn4018	YOR096W
cytoplasmic translation	RPS7B_dma5343	YNL096C
cytoplasmic translation	RPS7B_sn4019	YNL096C
cytoplasmic translation	RPS8A_dma149	YBL072C
cytoplasmic translation	RPS8A_sn4015	YBL072C
cytoplasmic translation	RPS8B_sn4016	YER102W
cytoplasmic translation	RPS9A_dma4833	YPL081W
cytoplasmic translation	SLH1_sn4158	YGR271W
cytoplasmic translation	SSA1_dma21	YAL005C
cytoplasmic translation	SSB1_dma808	YDL229W
cytoplasmic translation	SSB1_sn3929	YDL229W
cytoplasmic translation	SSB2_sn3928	YNL209W
cytoplasmic translation	SSZ1_damp1491	YHR064C
cytoplasmic translation	TAE1_dma427	YBR261C
cytoplasmic translation	TIF34_tsq2193	YMR146C
cytoplasmic translation	TIF5_damp170	YPR041W
cytoplasmic translation	TMA108_sn1707	YIL137C
cytoplasmic translation	TMA19_dma2775	YKL056C
cytoplasmic translation	TMA19_sn1136	YKL056C
cytoplasmic translation	TUB4_tsq1158	YLR212C
translational initiation	AEP2_dma3879	YMR282C
translational initiation	AEP2_sn3935	YMR282C
translational initiation	AIM23_sn2575	YJL131C
translational initiation	BUD27_sn674	YFL023W
translational initiation	CDC123_tsa946	YLR215C
translational initiation	CDC123_tsq1281	YLR215C
translational initiation	CTK1_damp3358	YKL139W
translational initiation	DBP1_sn2131	YPL119C
translational initiation	DED1_damp985	YOR204W
translational initiation	DED1_tsa561	YOR204W
translational initiation	DED1_tsa932	YOR204W
translational initiation	DED1_tsq1214	YOR204W
translational initiation	DED1_tsq557	YOR204W
translational initiation	DED1_tsq561	YOR204W
translational initiation	GCD1_tsa850	YOR260W
translational initiation	GCD11_tsq1822	YER025W
translational initiation	GCD2_damp520	YGR083C
translational initiation	GCD2_tsq1940	YGR083C
translational initiation	GCD2_tsq1941	YGR083C
translational initiation	GCD6_tsq2493	YDR211W
translational initiation	GCD7_damp789	YLR291C
translational initiation	GCD7_tsa1149	YLR291C
translational initiation	GCD7_tsq1385	YLR291C
translational initiation	GCN2_sn3923	YDR283C
translational initiation	GCN3_dma2951	YKR026C
translational initiation	GLE1_tsa920	YDL207W
translational initiation	GLE1_tsq922	YDL207W
translational initiation	GLE1_tsq923	YDL207W
translational initiation	HYP2_tsq750	YEL034W
translational initiation	IFM1_sn4207	YOL023W
translational initiation	LTO1_damp910	YNL260C
translational initiation	LTO1_tsq1413	YNL260C
translational initiation	MPT5_sn759	YGL178W
translational initiation	MRP51_sn4127	YPL118W
translational initiation	NIP1_tsq2225	YMR309C
translational initiation	NIP1_tsq2228	YMR309C
translational initiation	NIP1_tsq2231	YMR309C
translational initiation	NIP1_tsq2234	YMR309C
translational initiation	PAB1_tsq1838	YER165W
translational initiation	PAB1_tsq1839	YER165W
translational initiation	PAB1_tsq1841	YER165W
translational initiation	PAT1_dma599	YCR077C
translational initiation	PAT1_sn1228	YCR077C
translational initiation	PET309_sn4140	YLR067C
translational initiation	PRT1_tsq30	YOR361C
translational initiation	RLI1_damp334	YDR091C
translational initiation	RPB4_sn1849	YJL140W
translational initiation	RPB7_tsa1268	YDR404C
translational initiation	RPG1_damp209	YBR079C
translational initiation	RPG1_tsq1289	YBR079C
translational initiation	RPG1_tsq992	YBR079C
translational initiation	RSM28_sn4130	YDR494W
translational initiation	SCD6_dma5117	YPR129W
translational initiation	SCD6_sn2055	YPR129W
translational initiation	SIS1_damp131	YNL007C
translational initiation	STM1_dma3239	YLR150W
translational initiation	STM1_sn1658	YLR150W
translational initiation	SUI2_tsa1252	YJR007W
translational initiation	TIF1_dma2978	YKR059W
translational initiation	TIF2_dma2525	YJL138C
translational initiation	TIF2_sn4216	YJL138C
translational initiation	TIF34_tsq2193	YMR146C
translational initiation	TIF5_damp170	YPR041W
translational initiation	TOR1_dma5319	YJR066W
translational initiation	TOR1_sn1392	YJR066W
regulation of translation	AEP1_sn3934	YMR064W
regulation of translation	ASC1_dma3698	YMR116C
regulation of translation	ASC1_sn3895	YMR116C
regulation of translation	ATP22_sn3848	YDR350C
regulation of translation	CAF20_dma4676	YOR276W
regulation of translation	CAM1_dma4810	YPL048W
regulation of translation	CAM1_sn4161	YPL048W
regulation of translation	CBP6_sn3936	YBR120C
regulation of translation	CBS1_sn4088	YDL069C
regulation of translation	CBS2_sn3933	YDR197W
regulation of translation	CDC123_tsa946	YLR215C
regulation of translation	CDC123_tsq1281	YLR215C
regulation of translation	COA3_sn2574	YJL062W-A
regulation of translation	CTK1_damp3358	YKL139W
regulation of translation	CTK3_dma5234	YML112W
regulation of translation	CTK3_sn1951	YML112W
regulation of translation	DOM34_dma4193	YNL001W
regulation of translation	EBS1_dma980	YDR206W
regulation of translation	EDC1_dma1746	YGL222C
regulation of translation	EDC1_sn1804	YGL222C
regulation of translation	EDC2_sn1805	YER035W
regulation of translation	EFM2_dma442	YBR271W
regulation of translation	EFT2_dma1108	YDR385W
regulation of translation	GCD1_tsa850	YOR260W
regulation of translation	GCD11_tsq1822	YER025W
regulation of translation	GCD2_damp520	YGR083C
regulation of translation	GCD2_tsq1940	YGR083C
regulation of translation	GCD2_tsq1941	YGR083C
regulation of translation	GCD6_tsq2493	YDR211W
regulation of translation	GCD7_damp789	YLR291C
regulation of translation	GCD7_tsa1149	YLR291C
regulation of translation	GCD7_tsq1385	YLR291C
regulation of translation	GCN1_dma1722	YGL195W
regulation of translation	GCN1_sn4160	YGL195W
regulation of translation	GCN2_sn3923	YDR283C
regulation of translation	GCN20_dma1516	YFR009W
regulation of translation	GCN20_sn4159	YFR009W
regulation of translation	GCN3_dma2951	YKR026C
regulation of translation	GIS2_sn1822	YNL255C
regulation of translation	GLE1_tsa920	YDL207W
regulation of translation	GLE1_tsq922	YDL207W
regulation of translation	GLE1_tsq923	YDL207W
regulation of translation	HBS1_dma3008	YKR084C
regulation of translation	HBS1_sn3932	YKR084C
regulation of translation	HYP2_tsq750	YEL034W
regulation of translation	ITT1_dma3585	YML068W
regulation of translation	ITT1_sn4162	YML068W
regulation of translation	MAM33_sn2456	YIL070C
regulation of translation	MBA1_dma346	YBR185C
regulation of translation	MBA1_sn4686	YBR185C
regulation of translation	MDM38_dma4299	YOL027C
regulation of translation	MDM38_sn2679	YOL027C
regulation of translation	MPT5_sn759	YGL178W
regulation of translation	MSS51_sn4099	YLR203C
regulation of translation	MTQ1_dma3980	YNL063W
regulation of translation	NAM7_dma3675	YMR080C
regulation of translation	NAM7_sn1829	YMR080C
regulation of translation	NGR1_sn1826	YBR212W
regulation of translation	PAB1_tsq1838	YER165W
regulation of translation	PAB1_tsq1839	YER165W
regulation of translation	PAB1_tsq1841	YER165W
regulation of translation	PAT1_dma599	YCR077C
regulation of translation	PAT1_sn1228	YCR077C
regulation of translation	PBP1_dma1933	YGR178C
regulation of translation	PET111_sn4089	YMR257C
regulation of translation	PET122_sn4090	YER153C
regulation of translation	PET309_sn4140	YLR067C
regulation of translation	PET494_dma4253	YNR045W
regulation of translation	PET494_sn4091	YNR045W
regulation of translation	PET54_sn4101	YGR222W
regulation of translation	PPH21_dma712	YDL134C
regulation of translation	PPH21_sn1551	YDL134C
regulation of translation	PSK2_dma4344	YOL045W
regulation of translation	PSK2_sn2938	YOL045W
regulation of translation	PUF4_dma1604	YGL014W
regulation of translation	PUF4_sn287	YGL014W
regulation of translation	PUF6_dma1201	YDR496C
regulation of translation	PUF6_sn986	YDR496C
regulation of translation	RKR1_sn3339	YMR247C
regulation of translation	RLI1_damp334	YDR091C
regulation of translation	RPB4_sn1849	YJL140W
regulation of translation	RPB7_tsa1268	YDR404C
regulation of translation	RPL31B_dma3440	YLR406C
regulation of translation	RPL31B_sn3966	YLR406C
regulation of translation	RPS23A_dma1882	YGR118W
regulation of translation	RPS23A_sn4114	YGR118W
regulation of translation	RQC1_dma1072	YDR333C
regulation of translation	RQC2_sn3520	YPL009C
regulation of translation	SBP1_dma2074	YHL034C
regulation of translation	SBP1_sn2057	YHL034C
regulation of translation	SCD6_dma5117	YPR129W
regulation of translation	SCD6_sn2055	YPR129W
regulation of translation	SLF1_sn2168	YDR515W
regulation of translation	SLH1_sn4158	YGR271W
regulation of translation	SNF1_sn327	YDR477W
regulation of translation	SSB1_dma808	YDL229W
regulation of translation	SSB1_sn3929	YDL229W
regulation of translation	SSB2_sn3928	YNL209W
regulation of translation	SSD1_sn729	YDR293C
regulation of translation	SSZ1_damp1491	YHR064C
regulation of translation	STM1_dma3239	YLR150W
regulation of translation	STM1_sn1658	YLR150W
regulation of translation	SUA5_tsq1914	YGL169W
regulation of translation	TIF2_dma2525	YJL138C
regulation of translation	TIF2_sn4216	YJL138C
regulation of translation	TIF5_damp170	YPR041W
regulation of translation	TMA108_sn1707	YIL137C
regulation of translation	TRM9_sn4165	YML014W
regulation of translation	TUB4_tsq1158	YLR212C
regulation of translation	WHI3_sn1588	YNL197C
regulation of translation	WHI4_dma811	YDL224C
regulation of translation	ZUO1_sn1557	YGR285C
nucleolus	ACS2_damp769	YLR153C
nucleolus	ACS2_tsq2099	YLR153C
nucleolus	ACS2_tsq2100	YLR153C
nucleolus	AIR1_dma2338	YIL079C
nucleolus	AIR1_sn1846	YIL079C
nucleolus	AIR2_dma755	YDL175C
nucleolus	AIR2_sn1845	YDL175C
nucleolus	ARX1_dma891	YDR101C
nucleolus	BFR2_tsq1421	YDR299W
nucleolus	BMT2_dma311	YBR141C
nucleolus	BMT2_sn3717	YBR141C
nucleolus	BRX1_tsq1437	YOL077C
nucleolus	BUD21_dma4495	YOR078W
nucleolus	BUD21_sn3921	YOR078W
nucleolus	CDC14_tsa146	YFR028C
nucleolus	CDC14_tsa926	YFR028C
nucleolus	CDC14_tsq145	YFR028C
nucleolus	CDC14_tsq416	YFR028C
nucleolus	CHD1_dma1461	YER164W
nucleolus	CHD1_sn1773	YER164W
nucleolus	CKA2_dma4484	YOR061W
nucleolus	CKB1_dma1600	YGL019W
nucleolus	CKB1_sn1541	YGL019W
nucleolus	CKB2_dma4454	YOR039W
nucleolus	CKB2_sn1542	YOR039W
nucleolus	CSM1_dma593	YCR086W
nucleolus	CSM1_sn1311	YCR086W
nucleolus	CTK1_damp3358	YKL139W
nucleolus	CTK3_dma5234	YML112W
nucleolus	CTK3_sn1951	YML112W
nucleolus	DBP10_tsq1724	YDL031W
nucleolus	DBP10_tsq1727	YDL031W
nucleolus	DBP10_tsq1729	YDL031W
nucleolus	DBP10_tsq1731	YDL031W
nucleolus	DBP3_dma1651	YGL078C
nucleolus	DBP6_tsa1165	YNR038W
nucleolus	DBP6_tsq1402	YNR038W
nucleolus	DBP7_dma2929	YKR024C
nucleolus	DBP7_sn1681	YKR024C
nucleolus	DBP9_damp788	YLR276C
nucleolus	DBP9_tsa1148	YLR276C
nucleolus	DBP9_tsq1461	YLR276C
nucleolus	DHR2_damp691	YKL078W
nucleolus	DIP2_tsq1346	YLR129W
nucleolus	DIS3_damp933	YOL021C
nucleolus	DIS3_tsq1032	YOL021C
nucleolus	DRS1_tsq2093	YLL008W
nucleolus	DRS1_tsq2094	YLL008W
nucleolus	EBP2_tsq529	YKL172W
nucleolus	ECM1_dma55	YAL059W
nucleolus	ECM1_sn3907	YAL059W
nucleolus	EDC2_sn1805	YER035W
nucleolus	EMG1_damp772	YLR186W
nucleolus	EMG1_tsa1056	YLR186W
nucleolus	EMG1_tsa1141	YLR186W
nucleolus	EMG1_tsq1058	YLR186W
nucleolus	EMG1_tsq1384	YLR186W
nucleolus	ENP2_tsq1947	YGR145W
nucleolus	ERB1_tsa1102	YMR049C
nucleolus	ERB1_tsq1331	YMR049C
nucleolus	ESF1_tsq1786	YDR365C
nucleolus	ESF2_tsq2285	YNR054C
nucleolus	ESF2_tsq2286	YNR054C
nucleolus	EST1_dma3278	YLR233C
nucleolus	EST1_sn1645	YLR233C
nucleolus	FAF1_tsq1993	YIL019W
nucleolus	FAL1_damp317	YDR021W
nucleolus	FAL1_tsa728	YDR021W
nucleolus	FAL1_tsq1162	YDR021W
nucleolus	FCF1_tsq1418	YDR339C
nucleolus	FCF2_damp747	YLR051C
nucleolus	FOB1_dma906	YDR110W
nucleolus	FPR3_dma3581	YML074C
nucleolus	FPR4_dma3498	YLR449W
nucleolus	FPR4_sn2784	YLR449W
nucleolus	FYV7_sn3919	YLR068W
nucleolus	GLC7_damp441	YER133W
nucleolus	GRC3_tsa1167	YLL035W
nucleolus	HAS1_tsq1380	YMR290C
nucleolus	HCA4_tsq2048	YJL033W
nucleolus	HCA4_tsq2055	YJL033W
nucleolus	HMO1_sn1915	YDR174W
nucleolus	ISW1_dma413	YBR245C
nucleolus	ISW1_sn1192	YBR245C
nucleolus	JIP5_tsq2475	YPR169W
nucleolus	JJJ1_sn166	YNL227C
nucleolus	KRE33_tsa1262	YNL132W
nucleolus	KRR1_tsa326	YCL059C
nucleolus	KRR1_tsq1104	YCL059C
nucleolus	KRR1_tsq326	YCL059C
nucleolus	LAS1_tsq2092	YKR063C
nucleolus	LHP1_dma641	YDL051W
nucleolus	LRS4_sn1783	YDR439W
nucleolus	LSM2_tsa1065	YBL026W
nucleolus	LSM2_tsq1294	YBL026W
nucleolus	LSM3_damp1102	YLR438C-A
nucleolus	LSM4_damp437	YER112W
nucleolus	LSM6_dma1114	YDR378C
nucleolus	LSM6_sn1903	YDR378C
nucleolus	LSM7_dma5339	YNL147W
nucleolus	LSM7_sn1904	YNL147W
nucleolus	MAF1_dma837	YDR005C
nucleolus	MAF1_sn1884	YDR005C
nucleolus	MAK16_damp1	YAL025C
nucleolus	MAK16_tsa1066	YAL025C
nucleolus	MAK16_tsq1295	YAL025C
nucleolus	MAK5_tsa1109	YBR142W
nucleolus	MAK5_tsq1361	YBR142W
nucleolus	MRT4_dma2759	YKL009W
nucleolus	MRT4_sn4188	YKL009W
nucleolus	MTR3_tsa614	YGR158C
nucleolus	MTR3_tsq1135	YGR158C
nucleolus	MTR4_tsa431	YJL050W
nucleolus	MTR4_tsq431	YJL050W
nucleolus	NHP2_damp308	YDL208W
nucleolus	NHP2_tsq1406	YDL208W
nucleolus	NIP7_tsa114	YPL211W
nucleolus	NIP7_tsq114	YPL211W
nucleolus	NOC3_damp737	YLR002C
nucleolus	NOC3_tsq1397	YLR002C
nucleolus	NOC4_damp1082	YPR144C
nucleolus	NOG2_tsa479	YNR053C
nucleolus	NOP1_tsq1179	YDL014W
nucleolus	NOP12_dma4312	YOL041C
nucleolus	NOP13_sn1741	YNL175C
nucleolus	NOP14_tsa1234	YDL148C
nucleolus	NOP16_sn4171	YER002W
nucleolus	NOP2_tsa624	YNL061W
nucleolus	NOP2_tsa630	YNL061W
nucleolus	NOP2_tsq1139	YNL061W
nucleolus	NOP2_tsq1217	YNL061W
nucleolus	NOP2_tsq624	YNL061W
nucleolus	NOP2_tsq630	YNL061W
nucleolus	NOP4_tsq660	YPL043W
nucleolus	NOP56_tsq1459	YLR197W
nucleolus	NOP58_damp1007	YOR310C
nucleolus	NOP6_dma796	YDL213C
nucleolus	NOP6_sn4187	YDL213C
nucleolus	NOP7_tsa447	YGR103W
nucleolus	NOP7_tsq447	YGR103W
nucleolus	NOP8_tsq1360	YOL144W
nucleolus	NOP9_tsq2041	YJL010C
nucleolus	NOP9_tsq2044	YJL010C
nucleolus	NSA1_tsq1906	YGL111W
nucleolus	NSA1_tsq1907	YGL111W
nucleolus	NSI1_sn1724	YDR026C
nucleolus	NUG1_tsq786	YER006W
nucleolus	PCH2_sn1596	YBR186W
nucleolus	POL5_tsq595	YEL055C
nucleolus	POL5_tsq596	YEL055C
nucleolus	POP1_tsq2269	YNL221C
nucleolus	POP3_damp915	YNL282W
nucleolus	POP3_tsq1428	YNL282W
nucleolus	POP4_damp245	YBR257W
nucleolus	POP7_damp230	YBR167C
nucleolus	POP7_tsa1074	YBR167C
nucleolus	POP7_tsq1303	YBR167C
nucleolus	PUF6_dma1201	YDR496C
nucleolus	PUF6_sn986	YDR496C
nucleolus	PWP1_tsa1142	YLR196W
nucleolus	PWP1_tsq1391	YLR196W
nucleolus	RCM1_dma3960	YNL022C
nucleolus	RCM1_sn3738	YNL022C
nucleolus	REX4_sn4184	YOL080C
nucleolus	RIO1_damp970	YOR119C
nucleolus	RIO1_tsq2320	YOR119C
nucleolus	RLP7_damp869	YNL002C
nucleolus	RLP7_tsq1366	YNL002C
nucleolus	RMP1_damp767	YLR145W
nucleolus	RMP1_tsq1174	YLR145W
nucleolus	RNT1_tsa674	YMR239C
nucleolus	RNT1_tsq674	YMR239C
nucleolus	RPA14_dma940	YDR156W
nucleolus	RPA14_sn2082	YDR156W
nucleolus	RPA190_tsa532	YOR341W
nucleolus	RPA190_tsq1125	YOR341W
nucleolus	RPA190_tsq530	YOR341W
nucleolus	RPA34_dma2540	YJL148W
nucleolus	RPA34_sn2084	YJL148W
nucleolus	RPA43_tsq2497	YOR340C
nucleolus	RPB5_tsq1373	YBR154C
nucleolus	RPC19_damp880	YNL113W
nucleolus	RPC40_damp1074	YPR110C
nucleolus	RPF1_damp569	YHR088W
nucleolus	RPF1_tsq1227	YHR088W
nucleolus	RPF1_tsq1324	YHR088W
nucleolus	RPF2_tsq1327	YKR081C
nucleolus	RPL15B_sn4076	YMR121C
nucleolus	RPL7B_dma4943	YPL198W
nucleolus	RPP1_tsq1972	YHR062C
nucleolus	RPP1_tsq1975	YHR062C
nucleolus	RRB1_damp843	YMR131C
nucleolus	RRN11_tsq2152	YML043C
nucleolus	RRN3_tsa527	YKL125W
nucleolus	RRN3_tsq527	YKL125W
nucleolus	RRN5_tsq2095	YLR141W
nucleolus	RRN5_tsq2096	YLR141W
nucleolus	RRN6_damp185	YBL014C
nucleolus	RRN7_tsq1457	YJL025W
nucleolus	RRN9_tsq2212	YMR270C
nucleolus	RRN9_tsq2214	YMR270C
nucleolus	RRP1_tsa181	YDR087C
nucleolus	RRP1_tsq181	YDR087C
nucleolus	RRP14_tsq2072	YKL082C
nucleolus	RRP14_tsq2079	YKL082C
nucleolus	RRP15_damp1081	YPR143W
nucleolus	RRP15_tsq2471	YPR143W
nucleolus	RRP45_tsq1315	YDR280W
nucleolus	RRP5_tsq1053	YMR229C
nucleolus	RRP6_sn1677	YOR001W
nucleolus	RRP7_damp248	YCL031C
nucleolus	RRP8_dma882	YDR083W
nucleolus	RRP8_sn4181	YDR083W
nucleolus	RRP9_tsq2500	YPR137W
nucleolus	RRS1_tsa687	YOR294W
nucleolus	RRS1_tsq1149	YOR294W
nucleolus	RRT14_sn3720	YIL127C
nucleolus	RSA3_dma3284	YLR221C
nucleolus	SAS10_tsq1743	YDL153C
nucleolus	SBP1_dma2074	YHL034C
nucleolus	SBP1_sn2057	YHL034C
nucleolus	SGD1_damp797	YLR336C
nucleolus	SGS1_dma3784	YMR190C
nucleolus	SLX9_dma1857	YGR081C
nucleolus	SLX9_sn1249	YGR081C
nucleolus	SNU13_tsq1316	YEL026W
nucleolus	SOF1_tsq1330	YLL011W
nucleolus	SPO12_dma2192	YHR152W
nucleolus	SPO12_sn1595	YHR152W
nucleolus	SPT15_tsq1243	YER148W
nucleolus	SRP40_dma3002	YKR092C
nucleolus	SRP40_sn1907	YKR092C
nucleolus	SSF1_dma2113	YHR066W
nucleolus	SSF1_sn4168	YHR066W
nucleolus	SSF2_sn4169	YDR312W
nucleolus	SWM2_dma4190	YNR004W
nucleolus	SWM2_sn3722	YNR004W
nucleolus	TGS1_dma4908	YPL157W
nucleolus	TGS1_sn2068	YPL157W
nucleolus	TIF6_tsa1008	YPR016C
nucleolus	TIF6_tsq1010	YPR016C
nucleolus	TIF6_tsq1284	YPR016C
nucleolus	TMA23_dma3866	YMR269W
nucleolus	TMA23_sn3721	YMR269W
nucleolus	TOF2_sn1313	YKR010C
nucleolus	TOM1_sn1962	YDR457W
nucleolus	TOP1_dma4293	YOL006C
nucleolus	TOP1_sn1604	YOL006C
nucleolus	TRF5_sn1627	YNL299W
nucleolus	TRI1_dma3824	YMR233W
nucleolus	TRI1_sn3626	YMR233W
nucleolus	TSR1_tsq1737	YDL060W
nucleolus	TSR1_tsq1738	YDL060W
nucleolus	ULP1_tsq566	YPL020C
nucleolus	ULS1_dma4590	YOR191W
nucleolus	UPF3_dma1839	YGR072W
nucleolus	UPF3_sn1830	YGR072W
nucleolus	UTP13_tsa1250	YLR222C
nucleolus	UTP15_tsa1246	YMR093W
nucleolus	UTP18_tsq2063	YJL069C
nucleolus	UTP18_tsq2064	YJL069C
nucleolus	UTP21_tsq2140	YLR409C
nucleolus	UTP21_tsq2147	YLR409C
nucleolus	UTP22_damp521	YGR090W
nucleolus	UTP25_tsq2018	YIL091C
nucleolus	UTP25_tsq2021	YIL091C
nucleolus	UTP30_sn3920	YKR060W
nucleolus	UTP4_tsq1775	YDR324C
nucleolus	UTP4_tsq1778	YDR324C
nucleolus	UTP4_tsq1779	YDR324C
nucleolus	UTP5_tsa1242	YDR398W
nucleolus	UTP7_tsq1826	YER082C
nucleolus	UTP7_tsq1827	YER082C
nucleolus	UTP8_damp531	YGR128C
nucleolus	UTP9_tsa1135	YHR196W
nucleolus	UTP9_tsq1378	YHR196W
nucleolus	YBL028C_dma113	YBL028C
nucleolus	YCR016W_dma550	YCR016W
nucleolus	YCR016W_sn3747	YCR016W
nucleolus	YCR087C-A_dma592	YCR087C-A
nucleolus	YCS4_tsq432	YLR272C
nucleolus	YGR283C_sn3719	YGR283C
nucleolus	ZUO1_sn1557	YGR285C
protein targeting	AFG3_sn2697	YER017C
protein targeting	AKR1_sn174	YDR264C
protein targeting	APL5_dma4923	YPL195W
protein targeting	APL5_sn239	YPL195W
protein targeting	APL6_dma2014	YGR261C
protein targeting	APL6_sn240	YGR261C
protein targeting	APM3_dma450	YBR288C
protein targeting	APM3_sn241	YBR288C
protein targeting	APS3_dma2452	YJL024C
protein targeting	APS3_sn242	YJL024C
protein targeting	ARL1_dma318	YBR164C
protein targeting	ARL1_sn432	YBR164C
protein targeting	ARL3_dma4809	YPL051W
protein targeting	ARL3_sn258	YPL051W
protein targeting	ARP2_tsq886	YDL029W
protein targeting	AST1_sn374	YBL069W
protein targeting	AST2_sn46	YER101C
protein targeting	ATG1_dma1725	YGL180W
protein targeting	ATG1_sn593	YGL180W
protein targeting	ATG10_dma3053	YLL042C
protein targeting	ATG10_sn396	YLL042C
protein targeting	ATG11_sn416	YPR049C
protein targeting	ATG12_dma368	YBR217W
protein targeting	ATG12_sn426	YBR217W
protein targeting	ATG13_dma5155	YPR185W
protein targeting	ATG14_sn10	YBR128C
protein targeting	ATG16_dma3767	YMR159C
protein targeting	ATG16_sn11	YMR159C
protein targeting	ATG18_dma1550	YFR021W
protein targeting	ATG18_sn405	YFR021W
protein targeting	ATG19_sn386	YOL082W
protein targeting	ATG20_dma707	YDL113C
protein targeting	ATG20_sn425	YDL113C
protein targeting	ATG21_dma4844	YPL100W
protein targeting	ATG21_sn12	YPL100W
protein targeting	ATG27_dma2562	YJL178C
protein targeting	ATG3_dma4210	YNR007C
protein targeting	ATG3_sn397	YNR007C
protein targeting	ATG34_dma4360	YOL083W
protein targeting	ATG5_dma4878	YPL149W
protein targeting	ATG5_sn406	YPL149W
protein targeting	ATG7_dma2215	YHR171W
protein targeting	ATG7_sn399	YHR171W
protein targeting	ATG8_dma147	YBL078C
protein targeting	ATG8_sn395	YBL078C
protein targeting	ATG9_dma726	YDL149W
protein targeting	ATG9_sn400	YDL149W
protein targeting	BET2_tsq1083	YPR176C
protein targeting	BLM10_dma5286	YFL007W
protein targeting	BLM10_sn3847	YFL007W
protein targeting	BOR1_sn4743	YNL275W
protein targeting	BSD2_dma448	YBR290W
protein targeting	BSD2_sn409	YBR290W
protein targeting	BTT1_sn3914	YDR252W
protein targeting	CCZ1_dma294	YBR131W
protein targeting	CCZ1_sn428	YBR131W
protein targeting	CMD1_tsa155	YBR109C
protein targeting	CMD1_tsa157	YBR109C
protein targeting	CMD1_tsq1085	YBR109C
protein targeting	CMD1_tsq154	YBR109C
protein targeting	CMD1_tsq157	YBR109C
protein targeting	COG2_tsq187	YGR120C
protein targeting	COG3_tsa41	YER157W
protein targeting	COG3_tsq1064	YER157W
protein targeting	COG3_tsq44	YER157W
protein targeting	COG4_tsq2442	YPR105C
protein targeting	COG4_tsq2443	YPR105C
protein targeting	COG5_dma3963	YNL051W
protein targeting	COG6_dma3970	YNL041C
protein targeting	COG6_sn264	YNL041C
protein targeting	COG7_dma1587	YGL005C
protein targeting	COG7_sn266	YGL005C
protein targeting	COG8_dma3583	YML071C
